timestamp,action,confidence,fps
1778651077.2533054,squat,0.5588,0
1778651077.4037216,squat,0.5586,0
1778651077.5137992,squat,0.5581,0
1778651077.6102772,squat,0.5576,0
1778651077.7157547,squat,0.5569,0
1778651077.8267608,squat,0.5562,0
1778651077.9137764,squat,0.5555,0
1778651078.0597591,squat,0.5549,0
1778651078.2001076,squat,0.5543,0
1778651078.334654,squat,0.5541,0
1778651078.4679143,squat,0.5535,0
1778651078.6400902,squat,0.553,0
1778651078.7921696,squat,0.5524,0
1778651078.9506235,squat,0.552,0
1778651079.0898962,squat,0.5516,0
1778651079.2364728,squat,0.5512,0
1778651079.369619,squat,0.5505,0
1778651079.4853573,squat,0.5501,0
1778651079.6050842,squat,0.5497,0
1778651079.705783,squat,0.5497,0
1778651079.8159878,squat,0.5493,0
1778651079.9136014,squat,0.5486,0
1778651080.0118418,squat,0.5478,0
1778651080.103662,squat,0.5474,0
1778651080.186834,squat,0.547,0
1778651080.2802737,squat,0.5469,0
1778651080.3817785,squat,0.5468,0
1778651080.484858,squat,0.5469,0
1778651080.5760643,squat,0.5469,0
1778651080.6789253,squat,0.547,0
1778651080.781597,squat,0.5468,0
1778651080.8747885,squat,0.5468,0
1778651080.9940944,squat,0.5466,0
1778651081.0903242,squat,0.5466,0
1778651081.1943078,squat,0.5468,0
1778651081.2835531,squat,0.547,0
1778651081.3879466,squat,0.5472,0
1778651081.4658003,squat,0.5473,0
1778651081.564537,squat,0.5475,0
1778651081.654452,squat,0.5476,0
1778651081.8219416,squat,0.5477,0
1778651082.1965017,squat,0.5475,0
1778651082.393927,squat,0.5472,0
1778651082.6303632,squat,0.5471,0
1778651083.0224147,squat,0.547,0
1778651083.1908576,squat,0.5469,0
1778651083.35478,squat,0.5467,0
1778651083.5038307,squat,0.5462,0
1778651083.8567314,squat,0.546,0
1778651084.0160937,squat,0.5459,0
1778651084.1645317,squat,0.546,0
1778651084.2982526,squat,0.5459,0
1778651084.4738204,squat,0.5456,0
1778651084.6397045,squat,0.5453,0
1778651084.8305726,squat,0.5445,0
1778651085.0539403,squat,0.5436,0
1778651085.2106216,squat,0.5426,0
1778651085.3618004,squat,0.5417,0
1778651085.5161014,squat,0.5409,0
1778651085.702038,squat,0.5405,0
1778651085.8948307,squat,0.5401,0
1778651086.057325,squat,0.5399,0
1778651086.2570484,squat,0.5397,0
1778651086.4202108,squat,0.5398,0
1778651086.5971947,squat,0.54,0
1778651086.7493286,squat,0.5402,0
1778651086.9121656,squat,0.5402,0
1778651087.0634382,squat,0.5401,0
1778651087.2546856,squat,0.5401,0
1778651087.4136355,squat,0.5404,0
1778651087.574491,squat,0.5404,0
1778651087.7290585,squat,0.5404,0
1778651087.9002647,squat,0.5403,0
1778651088.0636933,squat,0.5402,0
1778651088.2142231,squat,0.5398,0
1778651088.373439,squat,0.5398,0
1778651088.5214958,squat,0.5401,0
1778651088.6900074,squat,0.5411,0
1778651088.8392963,squat,0.5423,0
1778651089.0053887,squat,0.5433,0
1778651089.1586125,squat,0.5442,0
1778651089.3142385,squat,0.5446,0
1778651089.4735157,squat,0.5454,0
1778651089.7003772,squat,0.5459,0
1778651089.8356729,squat,0.547,0
1778651090.1355314,squat,0.5483,0
1778651090.3234918,squat,0.5496,0
1778651090.5138292,squat,0.5508,0
1778651090.6983159,squat,0.552,0
1778651090.853837,squat,0.5532,0
1778651091.0313687,squat,0.5547,0
1778651091.2621195,squat,0.5561,0
1778651091.6968672,squat,0.5573,0
1778651091.8779628,squat,0.5582,0
1778651092.0635982,squat,0.559,0
1778651092.248609,squat,0.5596,0
1778651092.4247015,squat,0.5601,0
1778651092.6059227,squat,0.5605,0
1778651092.7649333,squat,0.5614,0
1778651092.9718633,squat,0.5621,0
1778651093.1571722,squat,0.563,0
1778651093.3050997,squat,0.5636,0
1778651093.4740727,squat,0.5646,0
1778651093.6433175,squat,0.5655,0
1778651093.9293256,squat,0.566,0
1778651094.1155498,squat,0.5661,0
1778651094.2975752,squat,0.5664,0
1778651094.5000713,squat,0.5666,0
1778651094.6392689,squat,0.5674,0
1778651094.7655022,squat,0.5683,0
1778651094.8972702,squat,0.5695,0
1778651095.0333595,squat,0.5706,0
1778651095.153291,squat,0.5717,0
1778651095.2950706,squat,0.5727,0
1778651095.443581,squat,0.5735,0
